,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
33,F2021,Reject,305.0,78.94500000000001,20.0,,7.0
34,F2021,Reject,317.0,85.215,2.0,,7.5
35,F2021,Reject,324.0,87.39999999999999,2.0,104.0,
36,F2021,Reject,305.0,77.23500000000001,15.0,93.0,
37,F2021,Reject,313.0,72.485,2.0,,8.0
38,F2021,Reject,310.0,71.725,31.0,,8.5
39,F2021,Reject,295.0,77.44,30.0,,6.5
40,F2021,Reject,318.0,77.89999999999999,,0.0,
41,F2021,Reject,307.0,60.135,18.0,112.0,
42,F2021,Reject,308.0,92.435,8.0,100.0,
43,F2021,Reject,288.0,78.565,,,6.0
44,F2021,Reject,,78.185,,,7.0
45,F2021,Reject,321.0,79.8,18.0,,7.0
46,F2021,Reject,324.0,75.43,27.0,112.0,
47,F2021,Reject,320.0,65.55,,105.0,
48,F2021,Reject,302.0,73.72,39.0,89.0,
49,F2022,Reject,320.0,83.885,12.0,109.0,
50,F2021,Reject,306.0,91.865,23.0,,7.0
51,F2021,Reject,,,,,
52,F2021,Reject,305.0,79.70500000000001,3.0,,7.5
53,F2021,Reject,324.0,72.2,3.0,112.0,
54,F2021,Reject,304.0,87.21,11.0,97.0,
55,F2020,Reject,324.0,65.0,50.0,113.0,
56,F2021,Reject,287.0,66.215,,,7.0
57,F2021,Reject,317.0,61.4,31.0,99.0,
58,F2021,Reject,315.0,62.699999999999996,32.0,104.0,
59,F2021,Reject,,71.63,43.0,,7.5
60,F2021,Reject,292.0,82.64999999999999,,,7.5
61,F2021,Reject,316.0,68.685,46.0,,7.0
62,F2021,Reject,309.0,78.375,8.0,,7.5
63,F2021,Reject,303.0,78.375,24.0,,7.0
64,F2021,Reject,315.0,78.0,39.0,,7.5
65,F2021,Reject,320.0,65.55,6.0,,7.0
66,F2021,Reject,321.0,66.785,,101.0,
67,F2021,Reject,300.0,90.345,17.0,99.0,
68,F2021,Reject,310.0,85.405,9.0,101.0,
69,F2021,Reject,317.0,76.0,29.0,106.0,
70,F2021,Reject,312.0,76.76,,,8.0
71,F2021,Reject,316.0,72.77,21.0,107.0,
72,F2021,Reject,323.0,76.19,20.0,106.0,
73,F2020,Reject,323.0,81.32000000000001,15.0,109.0,
74,F2021,Reject,325.0,78.94500000000001,4.0,115.0,
75,F2021,Reject,306.0,84.55,1.0,94.0,
76,F2021,Reject,312.0,85.405,9.0,103.0,
77,F2021,Reject,317.0,75.24,33.0,104.0,
78,F2021,Reject,304.0,69.0,22.0,116.0,
79,F2020,Reject,314.0,74.86,14.0,97.0,
80,F2021,Reject,332.0,77.71,17.0,114.0,
81,F2021,Reject,330.0,82.64999999999999,2.0,115.0,
