,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
128,S2022,Reject,313.0,61.845,36.0,100.0,
129,F2021,Reject,311.0,69.73,50.0,96.0,
130,F2021,Reject,312.0,76.285,28.0,,8.0
131,F2021,Reject,303.0,77.80499999999999,,93.0,
132,S2021,Reject,312.0,58.33,,87.0,
133,S2020,Reject,305.0,66.1,14.0,,7.0
134,S2021,Reject,297.0,,,,
135,F2020,Reject,315.0,59.85,30.0,,8.0
136,S2021,Reject,300.0,65.36,6.0,,7.0
137,S2021,Reject,314.0,72.75,35.0,91.0,
138,S2021,Reject,295.0,73.055,19.0,,7.0
139,S2020,Reject,307.0,71.345,36.0,,7.0
140,S2021,Reject,314.0,63.935,58.0,,7.5
141,F2018,Reject,310.0,59.84,,100.0,
142,F2021,Reject,293.0,62.0,27.0,87.0,
143,F2021,Reject,302.0,66.405,6.0,87.0,
144,F2020,Reject,306.0,68.1,36.0,88.0,
145,F2020,Reject,291.0,74.1,,83.0,
146,F2020,Reject,294.0,77.0,42.0,,7.0
147,S2021,Reject,309.0,75.39,59.0,103.0,
148,F2021,Reject,306.0,64.0,50.0,93.0,
149,F2020,Reject,312.0,79.23,27.0,99.0,
150,S2021,Reject,310.0,59.755,32.0,105.0,
151,F2020,Reject,308.0,53.959999999999994,30.0,93.0,
152,F2021,Reject,296.0,69.2,,85.0,
153,F2019,Reject,317.0,80.75,12.0,100.0,
154,F2020,Reject,303.0,56.0,,100.0,
155,F2021,Reject,304.0,61.5,21.0,,7.0
156,S2021,Reject,298.0,64.41,25.0,,7.0
157,S2021,Reject,305.0,68.0,36.0,,7.0
158,F2020,Reject,295.0,64.2,17.0,96.0,
159,S2021,Reject,306.0,67.0,26.0,,7.0
160,F2020,Reject,311.0,67.545,10.0,,7.5
161,F2020,Reject,303.0,57.0,16.0,,7.5
162,F2020,Reject,300.0,72.675,23.0,,6.5
163,F2020,Reject,310.0,74.0,48.0,,7.0
