,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
84,F2020,Reject,311.0,81.035,28.0,90.0,
85,F2020,Reject,319.0,68.78,,105.0,
86,F2020,Reject,328.0,58.80500000000001,8.0,,7.0
87,F2021,Reject,310.0,80.75,2.0,,6.5
88,F2020,Reject,313.0,73.91,4.0,,7.5
89,F2020,Reject,307.0,74.12,48.0,,7.0
90,F2021,Reject,299.0,80.75,5.0,,6.5
91,F2020,Reject,303.0,81.7,,,7.5
92,F2020,Reject,322.0,83.60000000000001,,117.0,
93,F2020,Reject,305.0,67.6,23.0,98.0,
94,F2020,Reject,314.0,83.41,18.0,99.0,
95,F2020,Reject,315.0,85.5,60.0,110.0,
96,S2021,Reject,313.0,78.85000000000001,25.0,103.0,
97,F2021,Reject,316.0,83.41,10.0,112.0,
98,F2021,Reject,310.0,72.39,1.0,105.0,
99,F2020,Reject,301.0,85.5,,,6.5
100,F2020,Reject,312.0,82.175,2.0,106.0,
101,S2021,Reject,299.0,73.15,30.0,,7.0
102,F2021,Reject,310.0,65.55,11.0,98.0,
103,F2020,Reject,307.0,69.92,27.0,94.0,
104,F2020,Reject,310.0,69.0,58.0,94.0,
105,F2020,Reject,302.0,81.035,,105.0,
106,F2020,Reject,302.0,71.0,27.0,99.0,
107,F2020,Reject,312.0,84.45500000000001,10.0,85.0,
108,F2020,Reject,307.0,76.19,8.0,92.0,
109,F2020,Reject,,62.0,45.0,85.0,
110,S2020,Reject,,,,,
111,F2021,Reject,300.0,66.215,,,7.5
112,F2020,Reject,305.0,79.99,30.0,101.0,
113,F2020,Reject,299.0,75.145,24.0,,7.0
114,F2020,Reject,302.0,60.35,3.0,93.0,
115,F2020,Reject,302.0,68.875,5.0,,7.5
116,S2020,Reject,315.0,70.68,11.0,,7.5
117,F2020,Reject,313.0,70.395,21.0,,7.0
118,F2021,Reject,308.0,79.51499999999999,66.0,97.0,
119,F2020,Reject,310.0,89.585,5.0,106.0,
120,F2020,Reject,319.0,73.95,13.0,,7.5
121,S2021,Reject,312.0,76.0,,104.0,
122,F2021,Reject,309.0,76.95,,95.0,
123,S2021,Reject,313.0,80.37,8.0,108.0,
124,F2020,Reject,314.0,74.0,49.0,109.0,
125,F2021,Reject,305.0,70.68,25.0,104.0,
126,F2020,Reject,306.0,71.25,24.0,98.0,
127,F2020,Reject,310.0,75.0,24.0,,8.0
128,F2020,Reject,321.0,64.885,2.0,113.0,
129,S2021,Reject,305.0,80.75,,81.0,
130,F2020,Reject,313.0,63.175000000000004,22.0,,7.0
131,F2020,Reject,310.0,61.084999999999994,33.0,96.0,
132,F2021,Reject,316.0,69.92,6.0,104.0,
133,F2020,Reject,316.0,76.095,,118.0,
134,S2021,Reject,312.0,93.86000000000001,4.0,,7.5
135,F2020,Reject,308.0,69.825,44.0,,7.5
136,F2020,Reject,311.0,77.995,5.0,112.0,
137,F2020,Reject,320.0,82.84,,107.0,
138,F2021,Reject,312.0,77.0,38.0,107.0,
139,F2020,Reject,310.0,80.085,28.0,,7.5
140,F2020,Reject,313.0,82.64999999999999,14.0,104.0,
141,F2020,Reject,309.0,71.94,12.0,,7.5
142,F2020,Reject,,,,,
143,F2020,Reject,306.0,79.23,7.0,,7.0
144,F2020,Reject,311.0,73.0,57.0,,7.5
145,F2020,Reject,314.0,71.25,12.0,104.0,
146,F2020,Reject,294.0,82.08000000000001,,,7.0
147,F2020,Reject,313.0,67.735,20.0,100.0,
148,S2021,Reject,305.0,64.5,,93.0,
149,F2020,Reject,317.0,73.31,23.0,103.0,
150,F2021,Reject,305.0,77.23500000000001,40.0,99.0,
151,F2020,Reject,315.0,71.0,55.0,,7.0
152,F2020,Reject,317.0,67.0,24.0,,8.0
153,F2020,Reject,310.0,83.885,22.0,95.0,
154,F2020,Reject,314.0,83.0,3.0,93.0,
155,F2020,Reject,306.0,86.45,4.0,106.0,
156,F2021,Reject,305.0,90.44,5.0,,7.0
157,F2020,Reject,305.0,85.12,2.0,90.0,
158,S2021,Reject,305.0,64.125,,98.0,
159,S2021,Reject,309.0,70.0,10.0,96.0,
160,F2020,Reject,311.0,72.2,11.0,110.0,
161,S2021,Reject,317.0,78.565,16.0,88.0,
162,S2021,Reject,321.0,69.0,15.0,114.0,
163,F2020,Reject,324.0,53.39,28.0,100.0,
164,S2020,Reject,306.0,77.89999999999999,38.0,101.0,
165,S2020,Reject,313.0,68.685,14.0,,7.0
166,S2020,Reject,312.0,79.5,54.0,103.0,
167,S2020,Reject,315.0,63.45,33.0,99.0,
168,S2020,Reject,310.0,66.0,60.0,98.0,
169,S2020,Reject,312.0,76.0,20.0,,7.0
170,S2020,Reject,310.0,80.0,33.0,108.0,
171,F2019,Reject,310.0,79.8,60.0,98.0,
172,F2019,Reject,307.0,73.54,1.0,97.0,
173,F2019,Reject,302.0,73.91,18.0,97.0,
174,F2019,Reject,321.0,79.04,,95.0,
175,F2019,Reject,313.0,77.995,41.0,106.0,
176,F2019,Reject,316.0,75.715,,107.0,
177,F2019,Reject,315.0,69.35,28.0,109.0,
178,F2019,Reject,310.0,80.27499999999999,5.0,105.0,
179,F2019,Reject,307.0,64.79,,102.0,
180,F2019,Reject,,73.625,11.0,110.0,
181,F2019,Reject,309.0,80.845,,104.0,
182,F2019,Reject,312.0,87.39999999999999,,101.0,
183,F2019,Reject,309.0,80.085,30.0,,7.5
184,F2019,Reject,311.0,75.81,1.0,101.0,
185,F2019,Reject,312.0,66.0,24.0,102.0,
186,F2019,Reject,320.0,75.0,60.0,111.0,
187,F2019,Reject,315.0,72.675,15.0,101.0,
188,F2019,Reject,308.0,88.73,10.0,104.0,
189,F2019,Reject,308.0,82.935,4.0,101.0,
190,S2020,Reject,315.0,84.26499999999999,38.0,106.0,
191,F2019,Reject,308.0,0.0,12.0,102.0,
192,F2019,Reject,307.0,62.415000000000006,34.0,,8.0
193,F2019,Reject,313.0,82.64999999999999,,,8.0
194,F2019,Reject,317.0,83.22,13.0,102.0,
195,F2019,Reject,315.0,78.85000000000001,30.0,109.0,
196,F2019,Reject,316.0,68.9,31.0,114.0,
197,F2019,Reject,312.0,79.04,2.0,108.0,
198,F2019,Reject,315.0,66.0,36.0,107.0,
199,F2019,Reject,311.0,73.625,21.0,104.0,
200,F2019,Reject,314.0,73.48,15.0,102.0,
